ExperimentDate,ExperimentTime,ExperimentTimeFraction,timeStamp,experimentId,activityTypeId,subjectId,deviceId,x,y,z,aX,aY,aZ,qW,qX,qY,qZ,lat,lon,speed,tag,alt,incl,counter
4/20/2017 12:00:00 AM,23:16:26,485615900,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.716934204102,-5.69549560546875,-165.716934204102,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645905
4/20/2017 12:00:00 AM,23:16:26,487118600,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.577789306641,-4.93711185455322,-165.577789306641,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645906
4/20/2017 12:00:00 AM,23:16:26,487620100,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.6123046875,-3.6989688873291,-165.6123046875,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645907
4/20/2017 12:00:00 AM,23:16:27,523614900,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.794784545898,-5.89963722229004,-165.794784545898,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645909
4/20/2017 12:00:00 AM,23:16:27,526113900,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.644790649414,-3.84749031066895,-165.644790649414,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645910
4/20/2017 12:00:00 AM,23:16:27,560616300,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.641571044922,-5.48606491088867,-165.641571044922,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645913
4/20/2017 12:00:00 AM,23:16:27,563119900,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.666595458984,-3.70410108566284,-165.666595458984,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645914
4/20/2017 12:00:00 AM,23:16:27,597922000,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10161Illumiski,-165.748504638672,-5.65339708328247,-165.748504638672,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Leftfoot,2519,0,5645916
4/20/2017 12:00:00 AM,23:16:27,600424100,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.697799682617,-3.96146678924561,-165.697799682617,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645917
4/20/2017 12:00:00 AM,23:16:27,638252300,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.651336669922,-3.8836088180542,-165.651336669922,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645919
4/20/2017 12:00:00 AM,23:16:27,676253000,4/20/2017 11:16:26 PM -06:00,32,1,b65eb234-3a7a-4706-8c9c-8ae6d27179ae,Sensorkit10101Illumiski,-165.688873291016,-3.8374605178833,-165.688873291016,0,0,0,0,0,0,0,40.5824699401855,-111.653617858887,0.0686653628945351,Rightfoot,2519,0,5645920
